,region,ode_name,num,epochs,latent_dim,2015 7,2015 14,2015 21,2015 28,2016 7,2016 14,2016 21,2016 28,2017 7,2017 14,2017 21,2017 28,2018 7,2018 14,2018 21,2018 28,skill 2015 7,skill 2015 14,skill 2015 21,skill 2015 28,skill 2016 7,skill 2016 14,skill 2016 21,skill 2016 28,skill 2018 7,skill 2018 14,skill 2018 21,skill 2018 28,skill 2017 7,skill 2017 14,skill 2017 21,skill 2017 28
283,US,UONNb,17.0,180.0,8.0,0.214617401,0.195912482,0.390929755,0.771478113,0.342618022,0.46579676,0.692571144,0.991574604,1.488934993,2.286437614,3.194010586,4.551697472,-0.316285529,0.063561249,0.374370212,0.66301818,0.768828363,0.7376933,0.690197481,0.620145348,0.573340886,0.541981812,0.487268036,0.428903675,0.850606899,0.710561422,0.595788981,0.516886498,0.253774819,0.224839148,0.192197386,0.1293277
284,US,UONN,17.0,180.0,8.0,0.110952449,0.020563766,0.13165962,0.37736719,0.900244236,1.527753546,2.975555291,3.984442844,1.432218415,1.477894763,1.626764263,1.940987395,-0.062076762,0.135547697,0.431739902,0.878239677,0.720412717,0.726825127,0.698964015,0.649070406,0.461972117,0.352657108,0.258099155,0.206196542,0.798029234,0.72995128,0.62193375,0.50698768,0.270405651,0.252515101,0.216131174,0.169156909
285,US,CONN,18.0,180.0,8.0,0.124868732,-0.040759758,0.07290813,0.318272235,1.813465943,2.392569493,3.496947541,4.14091462,0.388855038,0.760593918,1.112306017,1.445036907,-0.063334113,0.139808387,0.45759305,0.92232469,0.696467794,0.715685312,0.69149429,0.641836158,0.318996692,0.260904899,0.212145078,0.186587586,0.739620152,0.644398787,0.57240553,0.520177615,0.55419613,0.421656138,0.320763744,0.245421954
286,US,CONNb,18.0,180.0,8.0,0.625508531,1.242097069,2.080973283,3.535130576,0.122706293,0.192660441,0.56241888,0.986801827,1.360832581,1.795000877,2.600284424,4.185339873,0.134381522,0.483174819,1.017814152,1.698143249,0.86950978,0.668552444,0.45257059,0.298900123,0.638024598,0.636485136,0.54582504,0.449431472,0.728416463,0.734651586,0.688091311,0.589198388,0.281423616,0.269159916,0.219299148,0.127244735
287,US,UONNb,18.0,180.0,8.0,0.630107897,0.272892778,0.020433271,0.058394401,0.714567446,0.910838845,1.568628422,2.150951563,,,,,0.36803571,0.411130969,0.630047818,0.9390841,0.777190144,0.765018124,0.759555588,0.739466613,0.483433923,0.440631718,0.355153756,0.296056066,0.621696184,0.605737013,0.532238239,0.446839443,,,,
288,US,UONN,18.0,180.0,8.0,0.056947009,-0.140907994,-0.043095542,0.153107662,0.432717132,0.428773095,0.959920561,1.601387278,0.707022687,0.820577569,1.365705526,2.352134382,1.002877568,0.936940694,0.957662673,1.018680224,0.898711825,0.788512093,0.734748144,0.69249892,0.509975998,0.526733916,0.43762554,0.345795549,0.406659862,0.429202124,0.42110386,0.399797753,0.354283029,0.342233018,0.262025584,0.163855261
289,US,CONN,19.0,180.0,8.0,0.280658074,0.018783036,0.208516737,0.788423119,3.235238284,1.864806097,1.596299715,1.534812323,1.334070767,1.60989888,2.412818673,3.85966899,0.139230141,0.259085352,0.614482675,1.05662119,0.671084226,0.699526855,0.675803863,0.627240797,0.289498285,0.256118502,0.226265229,0.220736931,0.656241764,0.627800151,0.536837341,0.444056537,0.231618239,0.22473379,0.16722719,0.105767698
290,US,CONNb,19.0,180.0,8.0,170.9138304,171.8364031,172.7346282,173.404742,0.044753966,0.032133244,0.555534976,1.244193487,13.28801538,10.84449002,9.918698367,9.589981101,-0.001462103,0.297315003,0.509366297,0.694613005,4.54e-05,4.54e-05,4.54e-05,4.54e-05,0.630287926,0.661362998,0.555310292,0.438829888,0.811320026,0.643607737,0.540344992,0.471570216,0.006549401,0.009818445,0.011606814,0.012306134
291,US,UONN,19.0,180.0,8.0,0.357383036,0.683066966,1.078587223,1.732065041,0.661945535,0.584428765,0.773853233,1.039806008,0.979926411,1.044768598,1.316213438,1.778907948,0.385932295,0.369028674,0.615280314,1.004258769,0.859229741,0.710842416,0.562696152,0.432667777,0.546634991,0.513414331,0.421349238,0.331888785,0.651427462,0.645370995,0.555860109,0.446408106,0.360272594,0.340280168,0.275110086,0.193174294
292,US,UONNb,19.0,180.0,8.0,0.053935573,-0.057705846,0.136612135,0.588895126,3.330102593,4.232007062,4.276333059,3.972682998,0.417137975,0.77150879,1.187478883,1.660587117,-0.14284377,0.049896028,0.364342504,0.789740787,0.818082574,0.791453124,0.71478922,0.599101078,0.25050133,0.187053696,0.159073067,0.163112831,0.80691176,0.744306683,0.630578207,0.506385738,0.53015218,0.410765203,0.297302469,0.201276871
